City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
592,Mahibadhoo,MV,82.29,overcast clouds,3.7833,72.9667,Omadhoo Inn
593,Pahrump,US,78.85,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
594,Moindou,NC,80.55,scattered clouds,-21.6924,165.677,Gite de la RYAWA
599,Carlsbad,US,82.81,clear sky,33.1581,-117.3506,Carlsbad Inn Beach Resort
603,Roebourne,AU,87.08,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
616,Pumiao,CN,81.0,clear sky,22.75,108.4833,Mushang Boutique Hotel
619,Mandal,IN,77.99,overcast clouds,25.45,74.5667,पीपी वाले हनुमान जी
621,Moranbah,AU,87.03,few clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
624,Guozhen,CN,77.02,overcast clouds,34.3659,107.359,Yucai Hotel
625,Vanimo,PG,82.89,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
626,The Valley,AI,84.06,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
631,Koutiala,ML,76.86,overcast clouds,12.3917,-5.4642,Hotel Campement Poule Verte
635,Jacmel,HT,78.22,scattered clouds,18.2342,-72.5347,Historic Hotel Florita
639,Healdsburg,US,84.25,clear sky,38.6105,-122.8692,Best Western Dry Creek Inn
640,Joao Pinheiro,BR,81.19,overcast clouds,-17.7425,-46.1725,Hotel Santos
641,Auki,SB,87.73,light rain,-8.7676,160.7034,Auki Motel
644,Chabahar,IR,82.94,few clouds,25.2919,60.643,هتل گدروشیا
645,Bacungan,PH,86.65,broken clouds,9.9106,118.7022,Sumayang Property
647,Banda Aceh,ID,79.39,overcast clouds,5.5577,95.3222,Sulthan Hotel International
650,Amahai,ID,83.64,light rain,-3.3333,128.9167,HOTEL ISABELA
652,Harper,LR,76.78,light rain,4.375,-7.7169,Screensaver
659,Lahij,YE,82.54,overcast clouds,13.1667,44.5833,
660,Pindwara,IN,75.69,scattered clouds,24.8,73.0667,Arbuda tour and travels
665,Ha Giang,VN,84.34,light rain,22.8333,104.9833,Truong Xuan Ecolodge
666,Cabanas,CU,79.27,clear sky,22.9758,-82.9219,Villa Luis Montesino y Anabel
671,Petrolina,BR,84.25,clear sky,-9.3986,-40.5008,JB Hotel
675,Dothan,US,76.91,clear sky,31.2232,-85.3905,Courtyard by Marriott Dothan
676,Cape Coast,GH,76.28,light rain,5.1053,-1.2466,Samrit Hotel
684,Port-Gentil,GA,77.27,overcast clouds,-0.7193,8.7815,Fengshui Residence
686,Bandarbeyla,SO,79.59,overcast clouds,9.4942,50.8122,JABIR HOTEL
